|0
Mythopoeic Fantasy Award for Adult Literature|12
Prix Julia Verlanger|12
Hugo Award for Best Non-Fiction Book|12
Bancroft Prize|12
Tähtifantasia Award Nominee|12
Corine Internationaler Buchpreis for Kinder- und Jugendbuch|12
Read Alone|12
Locus Award Nominee for Best Horror / Dark Fantasy Novel|12
Deutscher Krimi Preis for 1. Platz International|12
Australian Literature Society Gold Medal|12
Jewish Quarterly-Wingate Prize Nominee for Fiction|12
Anthony Award Nominee for Best True Crime|11
Deutscher Jugendliteraturpreis for Kinderbuch|11
Deutscher Bücherpreis for Publikumspreis|11
McKitterick Prize|11
California Book Award for Nonfiction|11
Edward Lewis Wallant Award|11
W.H. Heinemann Award|11
California Book Award for First Fiction|11
National Book Award for General Nonfiction|11
Maryland Black-Eyed Susan Book Award for Grade 4-6|11
Guardian First Book Award Nominee for Longlist|11
Children's Choice Book Award|11
Pulitzer Prize Nominee for Biography or Autobiography|11
Balrog Award Nominee for Best Collection/Anthology|11
Grand Prix des lectrices de Elle for roman|11
Audie Award for Science Fiction|11
Jupiter Award for Best Novel|11
World Fantasy Award Nominee for Best Anthology/Collection|11
Aristeion Prize|11
Coretta Scott King Book Award for Author|11
Agatha Award for Best Novel|11
Nébula|11
Frederic G. Melcher Book Award|11
Puddly Award for Fiction|11
Jane Addams Children's Book Award Nominee for Older Children|11
NBDB National Book Award Nominee for Translation|11
Pennsylvania Young Readers' Choice Award for Grades 3-8|11
Oregon Book Award Nominee for Fiction|11
Shamus Award Nominee for Best PI Novel|11
Book Sense Book of the Year Award for Adult Nonfiction|10
Francis Parkman Prize|10
Locus Award Nominee for Best Anthology|10
Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk|10
Rebecca Caudill Young Readers' Book Award Nominee|10
Bram Stoker Award for Best Fiction Collection|10
Endeavour Award Nominee|10
Northern California Book Awards for Fiction|10
Book Sense Book of the Year Award for Children's Literature|10
Puddly Award for Thriller|10
Publieksprijs voor het Nederlandse Boek|10
Falcon Award|10
Judy Lopez Memorial Award for Children's Literature|10
British Fantasy Award Nominee for Best Collection|10
National Book Award Finalist for General Nonfiction|10
Sunday Times/Peters Fraser + Dunlop Young Writer of the Year Award|10
National Book Award for Young People's Literature|10
IRA Children’s and Young Adult’s Book Award|10
Prometheus Award for Best Novel|10
Whittaker Gold Award|10
